,title,description,views
514,why i do theater,patsy rodenburg say world need actor more than ever in at michael howard studio she tell story profound encounter reveal deeper role theater can play people live,-1
515,unintended consequence,every new invention change world way both intentional unexpected historian edward tenner tell story illustrate gap between our ability innovate our ability foresee consequence,-1
516,why journalist have an obligation challenge power,you can kick jorge ramos out your press conference a donald trump infamously do but can never silence him a reporter more than year ramos believe journalist responsibility question challenge those power in compel which earn him stand ovation midway through ramos explain why certain circumstance believe journalist must take side in spanish english subtitle,-1
517,be our final century,speak a both an astronomer concern member human race sir martin rees examine our planet it future cosmic perspective he urge action prevent dark consequence our scientific technological development,1
518,way fix break news industry,something very wrong news industry trust medium have hit an low inundate sensationalist story consistent report scarce say journalist lara setrakian she share three way can fix news better inform all u complex issue our time,-1
519,world largest family reunion all invite,you may not know yet but aj jacob probably your cousin many many time remove use genealogy website be follow unexpected link make u all however distantly relate his goal throw world largest family reunion see there,-1
520,from stigma supermodel,rick guidotti fashion photographer passion project find share beauty kid albinism other condition affect their physical appearance way society treat them at tedxphoenix share some their story empower effect little glamour a redefine their beauty flash,-1
521,ethical riddle hiv research,a woman africa part hiv clinical trial but she ca afford bus ticket her health clinic let alone antiretrovirals she need boghuma kabisen titanji ask an important question how can researcher look cure make sure they not take advantage people most affect by pandemic,-1
522,why be these symbol find ancient cave all over europe,write language hallmark human civilization do just suddenly appear one day thousand year before first fully develop write system our ancestor scrawl geometric sign across wall cave they shelter paleoanthropologist rock art researcher ted senior fellow genevieve von petzinger have study codify these ancient mark cave across europe uniformity her find suggest graphic communication ability preserve transmit message beyond single moment time may be much older than think,1
523,my father forger,sarah kaminsky tell extraordinary story her father adolfo activity during world war ii use ingenuity talent forgery save live,-1
524,a simple new blood test can catch cancer early,jimmy lin develop technology catch cancer month year before current method he share breakthrough technique look small signal cancer presence via simple blood test detect recurrence some form disease day earlier than traditional method it could be ray hope fight where early detection make all difference,-1
525,dark secret surveillance state,tour deep dark world east german state security agency know a stasi uniquely powerful at spy it citizen until fall berlin wall stasi mastermind system surveillance psychological pressure keep country under control decade hubertus knabe study stasi be spy by them he share stun detail fall surveillance state show easy be neighbor turn neighbor,1
526,chimp have feel thought they should also have right,chimpanzee be people too know ok not exactly but lawyer steven wise have spend last year work change these animal status thing person it not matter legal semantics a describe fascinate recognize animal like chimp have extraordinary cognitive capability rethink way treat them legally no le than moral duty,-1
527,how can make world better place by,can end hunger poverty halt climate change achieve gender equality next year government world think can meet at un september they agree new set global goal development world social progress expert michael green invite u imagine these goal their vision better world can be achieve,1
528,cape breton fiddle reel time,violinist natalie macmaster ted musical director thomas dolby play dolby original song blue be river ethereal duet little dance,-1
529,what social progress index can reveal your country,term gross domestic product often talk a if be hand down god tablet but concept be invent by an economist we need more effective measurement tool match century need say michael green social progress index with charm wit show tool measure society across three dimension actually matter and reveal dramatic reorder nation occur when use,1
530,family tree,singer inara george guitarist mike andrew play quietly lovely love song family tree,-1
531,for parent happiness very high bar,parent section bookstore giant monument our collective panic a writer jennifer senior put why parenthood fill so much anxiety because goal modern raise happy so elusive in honest she offer some kinder more achievable aim,1
532,how can make crop survive without water,a world population grow effect climate change come into sharper relief have fee more people use le arable land molecular biologist jill farrant study rare phenomenon may help resurrection plant plant seemingly come back dead could they hold promise grow food our come hotter drier world,1
533,teacher need real feedback,until recently many teacher only get one word feedback year satisfactory and no feedback no coach there just no way improve bill gate suggest even great teacher can get better smart feedback lay out program foundation bring every classroom,1
534,why good leader make feel safe,what make great leader management theorist simon sinek suggest s someone who make their employee feel secure who draw staffer into circle trust but create trust safety especially an uneven economy mean take big responsibility,1
535,get ready hybrid think,two hundred million year ago our mammal ancestor develop new brain feature neocortex this piece tissue wrap around brain size walnut key what humanity have become now futurist ray kurzweil suggest should get ready next big leap brain power a tap into compute power cloud,1
536,how can technology transform human body,ted fellow lucy mcrae body architect she imagine way merge biology technology our own body in visually stun she show her work clothe recreate body inside music video robyn pill when swallow let sweat perfume,1
537,search true face leonardo,i mona lisa one face planet but would recognize an image leonardo da vinci illustrator siegfried woldhek use some thoughtful technique find what believe true face leonardo,1
538,this tiny particle could roam your body find tumor,what if could find cancerous tumor year before they can harm u without expensive screen facility or even steady electricity physician bioengineer entrepreneur sangeeta bhatia lead multidisciplinary lab search novel way understand diagnose treat human disease her target death due cancer she say be fully preventable with remarkable clarity she break down complex nanoparticle science share her dream radical new cancer test could save million live,-1
539,shake up your story,artist raghava kk demo new child book ipad fun feature when shake story your perspective change in charm short invite all u shake up our perspective little bite,-1
540,killer american diet sweep planet,forget latest disease news cardiovascular disease kill more people than everything else combine s mostly preventable dean ornish explain change our eat habit can save live,1
541,what do mean be citizen world,hugh evans start movement mobilize global citizen people who first foremost not a member state nation or tribe but a member human race in uplift personal learn more new understand our place world galvanize people take action fight against extreme poverty climate change gender inequality more these be ultimately global issue evans say they can only be solve by global citizen demand global solution their leader,1
542,let transform energy natural gas,u consume world oil but a energy tycoon boone pickens point out onstage country have no energy policy prepare inevitable be alternative energy our bridge an future after lose million invest wind energy pickens suggest not yet what might get u there natural gas after watch lively q a ted curator chris anderson,-1
543,how see past your own perspective find truth,more read watch online harder become tell difference between what real what fake it a if know more but understand le say philosopher michael patrick lynch in dare u take active step burst our filter bubble participate common reality actually underpin everything,1
544,on read koran,lesley hazleton sit down one day read koran and what she find a tourist islamic holy book be what she expect with serious scholarship warm humor hazleton share grace flexibility mystery she find,1
545,how outdoor space,during hot summer month watch an outdoor sport match or concert can be tantamount bake uncomfortably sun but do have be at tedxsummit doha physicist wolfgang kessling reveal sustainable design innovation cool u above below even collect solar energy later use,-1
546,we need money aid so let s print,during financial crisis central bank unite state unite kingdom japan create trillion order buy asset encourage investor do same michael metcalfe offer shock idea could these same central bank print money ensure they stay track their goal global aid without risk inflation,-1
547,my seven specie robot create them,meet seven robot like humanoid darwin climber build by dennis hong robotics team at romela base at virginia tech watch end five creative secret lab success,1
548,symmetry reality riddle,world turn symmetry spin subatomic particle dizzy beauty an arabesque but there more than meet eye here oxford mathematician marcus du sautoy offer glimpse invisible number marry all symmetrical object,-1
549,key growth race machine,a machine take more job many find themselves out work or raise indefinitely postpone be end growth no say erik brynjolfsson s simply grow pain radically reorganize economy a rivet case why big innovation be ahead u if think computer a our teammate be sure watch oppose viewpoint robert gordon,1
550,moral bias behind your search result,search engine have become our most trust source information arbiter truth but can ever get an unbiased search result swedish author journalist andreas ekström argue such thing philosophical impossibility in thoughtful call u strengthen bond between technology humanity remind u behind every algorithm set personal belief no code can ever completely eradicate,1
551,there be no scrap men,alberto cairo clinic afghanistan use close down during active fight now they stay open in powerful cairo tell move story why find humanity dignity midst war,-1
552,magnificence spider silk,cheryl hayashi study spider silk one nature most material each specie spider can make up very different kind silk how do they do hayashi explain at dna level then show u material can inspire,-1
553,surprise way group like isi stay power,isi hezbollah hamas these three very different group be know violence but s only portion what they do say policy analyst benedetta berti they also attempt win over population social work set up school hospital offer safety security fill gap leave by weak government understand broader work these group suggest new strategy end violence,1
554,what separate u chimpanzee,jane goodall have find miss link but she come closer than nearly anyone else primatologist say only real difference between human chimp our sophisticate language she urge u start use change world,1
555,political chemistry oil,speak one month after massive gulf mexico oil spill lisa margonelli show drill moratorium executive ouster make good theater but distract u issue at heart our unrestrained oil consumption she share her bold plan wean america off oil by confront consumer it real cost,-1
556,how i teach rat sniff out land mine,no one know exactly many landmines still litter world but safe say million wait kill maim unsuspecting civilian clear them slow expensive dangerous founder apopo bart weetjens talk extraordinary project train rat sniff out land mine he show clip hero rat action preview work next phase teach them turn up tuberculosis lab,-1
557,gospel doubt,what do do when your firmly hold belief turn out not be true when casey gerald religion fail him search something new believe business government philanthropy but find only false savior in move gerald urge u all question our belief embrace uncertainty,1
558,a few way fix government,charity wayua put her skill a cancer researcher use an unlikely patient government her native kenya she share she help her government drastically improve it process open up new business crucial part economic health growth lead new investment world bank recognition a top reformer,-1
559,how not be ignorant world,how much do know world han rosling famous chart global population health income data an pointer demonstrate have high statistical chance be quite wrong what think know play along audience quiz then han son ola learn way quickly get le ignorant,1
560,say your truth seek them others,in lyrical unexpectedly funny heavy topic such a fray relationship death love one elizabeth lesser describe heal process put aside pride defensiveness make way you do have wait situation clean up relationship matter she say be like new kind first responder one take first courageous step toward other,1
561,how find giant squid,humankind have be look giant squid architeuthis since first start take picture underwater but elusive predator could never be catch film oceanographer inventor edith widder share key insight teamwork help capture squid film first time,1
562,danger silence,we spend so much time listen thing people be say rarely pay attention thing they do say poet teacher clint smith a short powerful piece heart find courage speak up against ignorance injustice,1
563,ethical dilemma designer baby,create genetically modify people no longer science fiction fantasy likely future scenario biologist paul knoepfler estimate within fifteen year scientist could use gene edit technology crispr make certain upgrade human embryo alter physical appearance eliminate risk disease in knoepfler ready u come designer baby revolution it very personal unforeseeable consequence,-1
564,could saturn moon harbor life,carolyn porco share excite new find cassini spacecraft recent sweep one saturn moon enceladus sample gather moon icy geyser hint an ocean under it surface could harbor life,-1
565,just small an atom,just small be atom really really really small this animation use metaphor imagine blueberry size football stadium give visceral sense just small atom be lesson by jon bergmann animation by cognitive medium,-1
566,story girl,photographer rick smolan tell unforgettable story young amerasian girl fateful photograph an adoption saga twist,-1
567,real future space exploration,in passionate legendary spacecraft designer burt rutan lambast u space program stagnate ask entrepreneur pick up where nasa have leave off,1
568,a theory everything,emily levine talk hilariously science math society way everything connect she brilliant trickster poke hole our fix idea bring hide truth light settle let her ping your brain,1
569,play dna,paul rothemund write code cause dna arrange itself into star smiley face more sure stunt but also demonstration at smallest scale vast implication future make thing,-1
570,please do take my air jordan,would kill pair air jordan lemon andersen spin tale someone who do recite poem by reg gain these verse teach lemon poetry could be more than could sound like music when give rhythm infuse grit new york street around him,-1
571,commandment city,eduardo paes mayor rio de janeiro sprawl complicate beautiful city million he share four big idea lead rio all city into future include bold infrastructure upgrade make city smarter,-1
572,why store billion seed,in brief ted u jonathan drori encourage u save biodiversity one seed at time remind u plant support human life share vision millennium seed bank which have store over billion seed date dwindle yet essential plant specie,-1
573,parkinson depression switch might turn them off,deep brain stimulation become very precise this technique allow surgeon place electrode almost any area brain turn them up or down like radio dial or thermostat correct dysfunction andres lozano offer dramatic look at emerge technique which woman parkinson instantly stop shake brain area erode by alzheimer be bring back life,1
574,let raise kid be entrepreneur,bore school fail class at odds peer this child might be an entrepreneur say cameron herold in make case parent education help entrepreneur flourish a kid a adult,1
575,be bear run,christopher mcdougall explore mystery human desire run how do run help early human survive what urge our ancient ancestor spur u today mcdougall tell story marathoner heart gold unlikely hide tribe mexico run live,1
576,danger willful blindness,gayla benefield be just do her job until she uncover an awful secret her hometown mean it mortality rate be time higher than anywhere else u but when she try tell people she learn an even more shock truth people do want know in part history lesson part margaret heffernan demonstrate danger willful blindness praise ordinary people like benefield who be will speak up,1
577,we need nuclear power solve climate change,joe lassiter deep thinker straight talker focus develop clean secure supply reliable energy his analysis world energy reality put powerful lens stubbornly touchy issue nuclear power include new design plant can compete economically fossil fuel we have potential make nuclear safer cheaper than be past lassiter say now have make choice pursue,-1
578,let put birth control back agenda,contraception topic have become controversial recent year but should be melinda gate believe many world social change issue depend ensure woman be able control their rate have kid in significant at tedxchange she make case world an issue she intend lend her voice next decade,1
579,new way see music color fire,designer jar ficklin create wild visualization let u see music use color even fire first ted stage analyze sound make u feel he take brief digression analyze sound skatepark audio can clue u develop creativity,-1
580,how virtual reality can create ultimate empathy machine,chris milk use cut edge technology produce astonish film delight enchant but milk human story drive force behind everything do in short charm show some collaboration musician include kanye west arcade fire describe latest experiment virtual reality this be part session at by magazine or popupmag twitter,1
581,job lose machine one wo,machine learn just simple task like ass credit risk sort mail anymore today capable far more complex application like grade essay diagnose disease with these advance come an uneasy question will robot do your job future,1
582,how grow forest your backyard,forest do have be nature reserve isolate human life instead can grow them right where be even city ted fellow shubhendu sharma grow biodiverse native specie urban area by engineer soil microbe biomass kickstart natural growth process follow along a describe grow forest just year learn can get tiny jungle party,1
583,distant time hint multiverse,cosmologist sean carroll attack an entertain tour through nature time universe deceptively simple question why do time exist at all potential answer point surprise view nature universe our place,1
584,engineer better life all,at bif innovation summit cat laine draw greek myth tantalus explain frustration develop country face she show might help community rich human capital but poor resource infrastructure cleverly engineer solution,-1
585,here take back internet,appear by telepresence robot edward snowden speak at surveillance internet freedom right data privacy suggest not partisan issue but require fundamental rethink role internet our live law protect your right matter say because never know when go need them chris anderson interview special guest tim,1
586,aid versus trade,ngozi former finance minister nigeria sum up four day intense discussion aid versus trade close day tedglobal share personal story explain her own commitment cause,-1
587,conception birth visualize,alexander tsiaras share powerful medical visualization show human development conception birth beyond some graphic image,1
588,which country do most good world,it an unexpected side effect globalization problem once would have stay bank lend out too much have consequence worldwide but still country operate independently a if alone planet policy advisor simon anholt have dream up an unusual scale get government think outwardly good country index in rivet funny answer question which country do most good answer may surprise especially if live u or china,1
589,a mini robot power by your phone,your smartphone may feel like friend but true friend would give smile once while at keller rinaudo demo romo mini robot who can motor along walk slide cup coffee across table react programmable expression,-1
590,voice twitter user,in year lead up web tool twitter explode size up during alone evan williams reveal many idea drive growth come unexpected use invent by user themselves,1
591,a brain supercomputer,henry markram say mystery mind can be solve soon mental illness memory perception they make neuron electric signal plan find them supercomputer model all brain synapsis,1
592,kid need structure,how can help kid get good start in heartfelt personal colin powell former secretary state ask parent friend relative support child start before they even get primary school through community strong sense responsibility,1
593,new york before city,year after hudson find new york harbor eric sanderson share make map mannahatta fascinate ecology hill river wildlife accurate down block when time square be wetland could get delivery,1
594,how design library make kid want read,when michael bierut be tap design logo public school library have no idea be embark passion project in often hilarious recall obsessive quest bring energy learn art graphic into these magical space where school librarian can inspire new generation reader thinker,1
595,secret u prison never hear before,investigative journalist will potter only reporter who have be inside communication management unit or cmu within u prison these unit be open secretly radically alter prisoner be treat even prevent them hug their child potter ted fellow show u who imprison here government try keep them hide message be clear say do place find source at,1
596,a smart loan people no credit history yet,trust how do earn bank use credit score determine if trustworthy but there be billion people around world who do have one begin who ca get loan start business buy home or otherwise improve their live hear ted fellow shivani siroya unlock untapped purchase power develop world inventure use mobile data create financial identity with something a simple a credit score say siroya give people power build their own future,1
597,reason why can win fight against poverty,half world poorest people have something common they small farmer in activist andrew youn show group one acre fund help these farmer lift themselves out poverty by deliver them farm service be already use all over world enter believe never be able solve hunger extreme poverty leave new understand scale world biggest problem,1
598,homeopathy quackery fraud,legendary skeptic jam randi take fatal dose homeopathic sleep pill onstage kick off sear indictment irrational belief he throw out challenge world psychic prove what do real i give million dollar no taker yet,1
599,architecture build heal,architecture more than clever arrangement brick in eloquent michael murphy show team look far beyond blueprint when they design consider factor airflow light theirs holistic approach produce community a well a beautiful build he take u tour project country such a rwanda haiti reveal move ambitious plan memorial peace justice which hop will heal heart american south,1
600,why genetic research must be more diverse,percent genome study be base people european descent rest world virtually unrepresented dangerous say geneticist ted fellow keolu fox because react drug differently base our genetic makeup fox work democratize genome sequence specifically by advocate indigenous population get involve research goal eliminate health disparity research community need immerse itself indigenous culture say or die try,-1
601,treat design a art,paola antonelli design curator at new york museum modern art want spread her appreciation design all shape form around world,-1
602,why need imagine different future,anab jain bring future life create experience where people can touch see feel potential world create do want world where intelligent machine patrol our street instance or where our genetic heritage determine our health care jain project show why important fight world want catch glimpse possible future,1
603,excuse me may i rent your car,a decade ago robin chase found zipcar u now largest company world now she explore next level buzzcar french startup let people rent their own car others detail be fascinate do insurance work exactly larger vision she call peer point new definition ownership entrepreneurship,-1
604,insight hiv stun data visuals,han rosling unveil data visuals untangle complex risk factor one world deadliest most misunderstand disease hiv by follow data suggest surprise key end epidemic,-1
605,what happen when have disease doctor ca diagnose,five year ago ted fellow jennifer brea become progressively ill myalgic encephalomyelitis commonly know a chronic fatigue syndrome debilitate illness severely impair normal activity bad day make even rustle bed sheet unbearable in poignant brea describe obstacle she encounter seek treatment her condition whose root cause physical effect do fully understand a well a her mission document through film live patient medicine struggle treat,1
606,military robot future war,in powerful singer show widespread use robot war change reality combat he show u scenario straight out science fiction now may not be so fictitious,1
607,can prevent end world,a earth empty human seem like stuff science fiction tv movie but short surprise lord martin rees ask u think our real existential risk natural threat could wipe out humanity a concern member human race ask what worst thing could possibly happen,1
608,beautiful artificial limb,prosthetics ca replicate look feel lose limb but they can carry lot personality designer scott summit show individually design prosthetic leg be unabashedly artificial completely personal macho fabulous,-1
609,how turn tide domestic violence hint polaroid help,when esta soler lobby bill outlaw domestic violence one politician call take fun out marriage act if only i have twitter then she muse in sweep optimistic soler chart year tactic technology polaroid camera social medium lead drop domestic violence,-1
610,new way kill mosquito,we can use mosquito own instinct against her in rather unforgettable presentation bart knols demo imaginative solution team develop fight malaria include limburger cheese deadly pill,-1
611,how art give shape cultural change,thelma golden curator at studio museum harlem talk through three recent show explore art examine redefine culture artist she work be use their art provoke new dialogue race culture mean art itself,-1
612,think behind,hector ruiz executive chair amd want give internet access everyone in share extraordinary life story describe amd initiative call connect percent world by,-1
613,be ready,medical ethicist harvey fineberg show u three path forward human specie stop evolve completely evolve naturally or control next step human evolution use genetic modification make ourselves smarter faster better within our grasp what will do,-1
614,nature human,in aircraft designer paul maccready look at planet which human have utterly dominate nature talk what all can do preserve nature balance his contribution solar plan superefficient glider electric car,-1
615,dig up dinosaur,strange landscape scorch heat sometimes mad crocodile await scientist seek clue evolution genius paleontologist paul sereno talk surprise encounter prehistory new way help student join adventure,-1
616,let my dataset change your mindset,talk at u state department summer han rosling use fascinate software burst myth develop world look new analysis china world mix classic data show,1
617,learn use astrolabe,rather than demo another new technology tom wujec reach back one our earliest but most ingenious device astrolabe with thousand use tell time map night sky old tech remind u ancient can be a brilliant a,-1
618,a political party woman equality,woman equality wo just happen not unless more woman be put position power say sandi toksvig in disarmingly hilarious toksvig tell story she help start new political party britain woman equality party express purpose put equality ballot now she hop people around world will copy her party model mobilize equality,-1
619,why i weekday vegetarian,we all know argument be vegetarian better environment animal but carnivorous culture can be hard make change graham hill have powerful pragmatic suggestion be weekday veg,1
620,live beyond limit,when she be amy purdy lose both her leg below knee and now she pro snowboarder killer competitor dance star in powerful she show u draw inspiration life obstacle,1
621,mysterious live giant tree,science writer richard preston talk some most enormous live be planet giant tree u pacific northwest grow tiny seed they support vast ecosystem be still largely mystery,-1
622,do fear intelligent machine work them,we must face our fear if want get most out technology must conquer those fear if want get best out humanity say garry kasparov one greatest chess player history kasparov lose memorable match ibm supercomputer deep blue now share vision future where intelligent machine help u turn our grandest dream into reality,-1
623,design elastic mind,moma design curator paola antonelli preview groundbreaking show design elastic mind full product design reflect way think now,-1
624,what veterinarian know physician do,what do call veterinarian who can only take care one specie a physician in fascinate barbara share approach health can improve medical care human animal particularly when come mental health,1
625,get wicked problem first tell me make toast,make toast doesn t sound very complicate until someone ask draw process step by step tom wujec love ask people team draw they make toast because process reveal unexpected truth can solve our biggest most complicate problem at work learn run exercise yourself hear wujec s surprise insight watch thousand people draw toast,1
626,violin my dark night soul,in her quest become violinist park fell into severe depression only music be able lift her out again show her her goal needn t be play lofty concert hall but instead bring wonder instrument a many people a possible,1
627,why gun violence ca be our new normal,it do matter whether love or hate gun obvious u would be safer place if there be thousand them sell every day without background check dan gross president brady campaign prevent gun violence make passionate personal appeal something more than percent american want background check all gun sale for every great movement around world there moment where can look back say when thing really start change gross say for movement end gun violence america moment here,-1
628,lesson flu,in a world worry possible avian flu epidemic laurie garrett author come plague give powerful small ted university audience her insight past pandemic be suddenly more relevant than ever,-1
629,how animation can help scientist test hypothesis,animation can bring scientific hypothesis life molecular biologist ted fellow janet iwasa introduce new animation software design just scientist,-1
630,why civilian suffer more once war over,in war turn out violence biggest killer civilian what illness hunger poverty because war destroy institution keep society run like utility bank food system hospital physician margaret bourdeaux propose bold approach recovery set priority what fix first,-1
631,doubt essential faith,when lesley hazleton be write biography muhammad she be strike by something night receive revelation koran accord early account first reaction be doubt awe even fear and yet experience become bedrock belief hazleton call new appreciation doubt question a foundation faith an end fundamentalism all kind,1
632,uber plan get more people into fewer car,uber do start out grand ambition cut congestion pollution but a company take off travis kalanick wonder if there be way get people use uber along same rout share rid reduce cost carbon footprint along way result uberpool company carpooling service which it first eight month take million mile off road metric ton carbon dioxide out air los angeles now kalanick say carpooling could work commuter suburb too with technology our pocket today little smart regulation say can turn every car into share car can reclaim our city start today,1
633,look up change,how often do see true beauty night sky ted fellow lucianne walkowicz show light pollution ruin extraordinary often ignore experience see directly into space,-1
634,where cybercrime really come,cybercrime net whop billion profit last year billion record lose or steal worldwide security expert caleb barlow call out insufficiency our current strategy protect our data his solution we need respond cybercrime same collective effort a apply health care crisis share timely information who infect disease spread if not share say then part problem,1
635,what think know,start four basic question may be surprise find ca answer jonathan drori look at gap our knowledge specifically what do science might think do,-1
636,a kinder gentler philosophy success,alain de botton examine our idea success failure question assumption underlie these two judgment be success always earn be failure he make an eloquent witty case move beyond snobbery find true pleasure our work,1
637,anatomy new yorker cartoon,new yorker receive around cartoon each week only publish them in hilarious insightful magazine longstanding cartoon editor humor analyst bob mankoff dissect comedy within just some idea draw feature magazine explain what work what do why,1
638,how germ travel plan can stop them,raymond wang only year old but already help build healthier future use fluid dynamic create computational simulation air move airplane what find disturb when person sneeze plane airflow actually help spread pathogen other passenger wang share an unforgettable animation sneeze travel inside plane cabin a well a solution small device increase fresh airflow airplane redirect air out circulation,1
639,underwater astonishment,david gallo show footage amaze sea creature include cuttlefish perfectly camouflage octopus time square worth neon light display fish who live blackest depth ocean this short celebrate pioneer work ocean explorer like edith widder roger hanlon,1
640,we be maker,america be build by maker curious enthusiastic amateur inventor whose tinker habit spark whole new industry at ted motorcity make magazine publisher dale dougherty say all maker at heart show cool new tool tinker like arduinos affordable printer even diy satellite,-1
641,what if print be faster,what think a print say joseph desimone really just print over over slowly onstage at unveil bold new technique inspire yes by terminator time faster create smooth strong part could finally help fulfill tremendous promise print,1
642,awoo,duo sofi tukker dance out ted audience performance their upbeat rhythmic song awoo feature betta lem me,-1
643,why google glass,it not demo more philosophical argument why do sergey brin team at google want build an codenamed glass onstage at brin call new way see our relationship our mobile computer not hunch over screen but meet world,1
644,make global labor fair,fla head auret van heerden talk next frontier worker right globalize industry where no single national body can keep worker safe protect how can keep our global supply chain honest van heerden make business case fair labor,-1
645,my dna vend machine,vend machine generally offer up soda candy bar chip not so one create by ted fellow gabe this artist have dream up dna vend machine which dispense extract human dna package vial along collectible photo person who give it s charm quirky but point out larger ethical issue will arise a access biotechnology increase,-1
646,intrigue sound marine mammal,peter tyack wood hole talk hide wonder sea underwater sound onstage at mission blue explain amaze way whale use sound song communicate across hundred mile ocean,-1
647,do what love no excuse,at web expo entrepreneur gary vaynerchuk give shoot arm dreamer who face internet have make formula success simpler than ever argue so there now no excuse not do what make happy,-1
648,a secret weapon against zika other disease,where do zika come what can do molecular biologist nina fedoroff take u around world understand zika origin spread propose controversial way stop virus other deadly disease by prevent infect mosquito multiply,-1
649,No description,rokia traore sing move accompany malian string instrument soulful timbre a quietly mesmerize performance,-1
650,oil spill toxic,break down oil slick keep off shore ground pump toxic dispersant into gulf say overseer susan shaw show evidence spar some beach only at devastate cost health deep sea,-1
651,a tale sex sensuality,if really want know people start by look inside their bedroom say shereen el feki who travel through middle east five year talk people sex while those conversation reflect rigid norm deep repression el feki also discover sexual conservatism arab world relatively new thing she wonder could public dialogue lead more satisfy safer sex live,1
652,my journey design,designer john maeda talk path seattle tofu factory rhode island school design where become president maeda tireless experimenter witty observer explore crucial moment when design meet computer,-1
653,profound journey compassion,swami dayananda saraswati unravel parallel path personal development attain true compassion he walk u through each step helpless infancy fearless act care others,-1
654,choice happiness spaghetti sauce,tip point author malcolm gladwell get inside food industry pursuit perfect spaghetti sauce make larger argument nature choice happiness,1
655,haunt photo polar ice,photographer camille seaman shoot iceberg show world complex beauty these massive ancient chunk ice dive her photo slideshow last iceberg,-1
656,a musical escape into world light color,a genre unto herself kaki king fuse ancient tradition work one hand digital technology imagery onto her guitar her groundbreaking multimedia work neck be bridge body use her guitar neck like keyboard she play an intricate melody a she take audience musical journey light sound she call guitar a paintbrush,1
657,why open school to close prison,our kid be our future crucial they believe themselves that why nadia lopez open an academic oasis brownsville brooklyn one most underserved violent neighborhood new york because she believe every child brilliance capability in short energize found principal mott hall bridge academy star human new york share she help her scholar envision brighter future themselves their family,-1
658,way spot bad statistic,sometimes hard know what statistic be worthy trust but should count out stats altogether instead should learn look behind them in delightful hilarious data journalist mona chalabi share handy tip help question interpret truly understand what number be say,1
659,everyone around have story world need hear,dave isay open first storycorps booth new york s grand central terminal intention create quiet place where person could honor someone who matter them by listen their story since then storycorps have evolve into single largest collection human voice ever record his ted prize wish grow digital archive collective wisdom humanity hear vision take storycorps global can be part by interview someone storycorps app,1
660,my wish find next einstein africa,accept ted prize physicist neil turok speak out talented young african starve opportunity by unlock nurture continent creative potential can create change africa future,-1
661,teach one child at time,educate poor more than just number game say shukla bose she tell story her groundbreaking parikrma humanity foundation which bring hope india slum by look past daunt statistic focus treat each child a an individual,-1
662,save tomorrow tomorrow,it easy imagine save money next week but right now generally want spend economist shlomo benartzi say one biggest obstacle save enough retirement ask how do turn behavioral challenge into behavioral solution,1
663,case collaborative consumption,in her rachel botsman say wire share show website like zipcar swaptree be change rule human behavior,1
664,wireless data every light bulb,what if every light bulb world could also transmit data at tedglobal harald haas demonstrate first time device could do exactly by flicker light single lead change too quick human eye detect can transmit far more data than cellular tower do way more efficient secure widespread,1
665,art ask,do make people pay music say amanda palmer let them in passionate begin her day a street performer drop dollar hat bride she examine new relationship between artist fan,1
666,danger single story,our live our culture be compose many overlap story novelist chimamanda adichie tell story she find her authentic cultural voice warn if hear only single story another person or country risk critical misunderstand,1
667,four way fix break legal system,land free have become legal minefield say philip howard especially teacher doctor whose work have be paralyze by fear suit what answer a lawyer himself howard have four proposition simplify u law,-1
668,how fight desertification reverse climate change,desertification fancy word land turn desert begin allan savory quietly powerful and happen world grassland accelerate climate change cause traditional graze society descend into social chaos savory have devote life stop he now believe work may show surprise factor can protect grassland even reclaim degrade land be once desert statement have be challenge by other scientist work field,1
669,every pollen grain have story,pollen go unnoticed by most u except when hay fever strike but microscope reveal come stun color shape travel remarkably well jonathan drori give an glimpse these fascinate fleck plant courtship,-1
670,life lesson through tinker,gever tulley use engage photo footage demonstrate valuable lesson kid learn at tinker school when give tool material guidance these young imagination run wild creative take over build unique boat bridge even roller coaster,1
671,do regret regret,we teach try live life without regret but why use her own tattoo a an example kathryn schulz make powerful move case embrace our regret,1
672,racial politics time,cultural theorist brittney cooper examine racism through lens time show u historically have be steal people color result lose moment joy connection lose year healthy quality life delay progress a candid take history race may make reconsider your understand time your place,-1
673,surprise thing i learn sail solo around world,what do learn when sail around world your own when solo sailor ellen macarthur circle globe carry everything she need her she come back new insight into way world work a place interlock cycle finite resource where decision make today affect what leave tomorrow she propose bold new way see world economic system not a linear but a circular where everything come around,1
674,art interview,marc pachter have conduct live interview some most intrigue character recent american history a part remarkable series create smithsonian national portrait gallery he reveal secret great interview share extraordinary story talk steve martin clare booth luce more,-1
675,poetry free soul,it say be poet have go hell back cristina domenech teach write at an argentinian prison she tell move story help incarcerate people express themselves understand themselves glory freedom language watch powerful read one her student an inmate front an audience in spanish subtitle,-1
676,how photography connect u,photo director national geographic david griffin know power photography connect u our world in fill glorious image talk all use photo tell our story,-1
677,this her mother feminism,blogger courtney martin examine perennially load word feminism personal heartfelt she talk through three essential paradox her generation quest define term themselves,-1
